夜のけいちゃん ★<>sage<>2023/06/20(火) 12:11:42.96 ID:Gk1nTvzs9<> TBSテレビ TBSテレビ <br> 2023年6月20日(火) 08:31 <br>  <br> 海底に沈没した豪華客船「タイタニック号」を探索する潜水艇が北大西洋で行方不明になり、捜索が行われています。 <br>  <br> アメリカ沿岸警備隊によりますと、沈没した豪華客船「タイタニック号」を探索する潜水艇が19日、北大西洋で行方不明になっていることがわかりました。 <br>  <br> イギリスのBBCなどは、潜水艇には操縦士を含め5人が乗船しており、うち1人はイギリスの実業家だと伝えています。 <br>  <br> 潜水艇は18日朝の潜水開始後に連絡が取れなくなり、アメリカとカナダの当局が連携して捜索を行っているということです。 <br>  <br> タイタニック号は1912年、氷山に衝突して北大西洋の海底に沈没し、およそ1500人の乗客が犠牲になったイギリスの豪華客船で、映画「タイタニック」のモデルとしても有名です。 <br>  <br> ソース　https://newsdig.tbs.co.jp/articles/-/551824?display=1 <>【国際】沈没船「タイタニック号」探索用潜水艇が北大西洋で行方不明　5人乗船  [夜のけいちゃん★]
ウィズコロナの名無しさん<>sage<>2023/06/20(火) 12:23:16.19 ID:7Zpi66ev0<> <a href="../test/read.cgi/newsplus/1687230702/4" rel="noopener noreferrer" target="_blank">&gt;&gt;4</a> <br> 金持ち向け観光だからアメリカとカナダの沿岸警備が捜索 <br> 96時間分の酸素はあるらしい <>
ウィズコロナの名無しさん<>sage<>2023/06/20(火) 12:23:50.39 ID:wwDLZWRK0<> おばば「呼ばれたんや」 <>
ウィズコロナの名無しさん<>sage<>2023/06/20(火) 12:23:55.21 ID:Jcnjfyp90<> 新タイタニック　映画化きたな <>
ウィズコロナの名無しさん<><>2023/06/20(火) 12:23:55.90 ID:arvB6Dtm0<> 観光潜水艇を見学するツアーができる <br> だんだん見る物が増える <>
ウィズコロナの名無しさん<>sage<>2023/06/20(火) 12:23:56.53 ID:K0YMFgaG0<> ローズ役のパイオツでワイの股関もちんぽつしちゃった <>
ウィズコロナの名無しさん<><>2023/06/20(火) 12:24:27.82 ID:z8zvMsh10<> 呪われた船だとか言われてたからな <br> やはり連れていかれたか <>
ウィズコロナの名無しさん<>sage<>2023/06/20(火) 12:24:29.45 ID:8/RncRYL0<> 有人で潜る意味がわからない <>
ウィズコロナの名無しさん<>sage<>2023/06/20(火) 12:24:29.66 ID:KF2wbyO30<> 祟りだろうな <>
ウィズコロナの名無しさん<>sage<>2023/06/20(火) 12:24:37.22 ID:vzPVdOFb0<> お金持ってても最期はあっけないものだな <br> タイタニック号の乗客もそっだったっけか <>
ウィズコロナの名無しさん<>sage<>2023/06/20(火) 12:24:50.43 ID:MDWj8FXA0<> これ、怖いな。見つかるかな?発信機とかあるんだろ? <>
